model,repeat,variant,condition,checks,valid,positive,negative,uncertain,not_mentioned,semantic_abstention,technical_failure,decided,correct,incorrect,failure_parse_error,failure_generation_truncated,TP,FP,TN,FN,correct_yield,coverage,conditional_accuracy,failure_evidence_error
medgemma,2,first_pass,Effusion,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,Synovitis,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,Baker's,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,Contusion,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,2,first_pass,Fracture,5,0,0,0,0,0,0,5,0,0,0,3,2,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,ACL,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,MCL,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,Medial Meniscus,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,Lateral Meniscus,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,Medial OA,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,Lateral OA,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,PF OA,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,Effusion,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,Synovitis,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,Baker's,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,Contusion,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
medgemma,2,repair_assisted,Fracture,5,0,0,0,0,0,0,5,0,0,0,2,3,0,0,0,0,0.0,0.0,,
qwen,1,first_pass,ACL,5,5,1,3,0,1,1,0,4,3,1,,,0,1,3,0,0.6,0.8,0.75,
qwen,1,first_pass,MCL,5,5,0,4,0,1,1,0,4,4,0,,,0,0,4,0,0.8,0.8,1.0,
qwen,1,first_pass,Medial Meniscus,5,4,1,3,0,0,0,1,4,4,0,,,1,0,3,0,0.8,0.8,1.0,1
qwen,1,first_pass,Lateral Meniscus,5,5,3,1,0,1,1,0,4,2,2,,,1,2,1,0,0.4,0.8,0.5,
qwen,1,first_pass,Medial OA,5,4,1,0,0,3,3,1,1,1,0,,,1,0,0,0,0.2,0.2,1.0,1
qwen,1,first_pass,Lateral OA,5,5,1,1,0,3,3,0,2,1,1,,,0,1,1,0,0.2,0.4,0.5,
qwen,1,first_pass,PF OA,5,5,2,1,0,2,2,0,3,2,1,,,2,0,0,1,0.4,0.6,0.6666666666666666,
qwen,1,first_pass,Effusion,5,5,3,2,0,0,0,0,5,3,2,,,2,1,1,1,0.6,1.0,0.6,
qwen,1,first_pass,Synovitis,5,5,2,0,0,3,3,0,2,1,1,,,1,1,0,0,0.2,0.4,0.5,
qwen,1,first_pass,Baker's,5,5,0,2,1,2,3,0,2,2,0,,,0,0,2,0,0.4,0.4,1.0,
qwen,1,first_pass,Contusion,5,5,1,0,0,4,4,0,1,1,0,,,1,0,0,0,0.2,0.2,1.0,
qwen,1,first_pass,Fracture,5,5,1,2,0,2,2,0,3,2,1,,,0,1,2,0,0.4,0.6,0.6666666666666666,
qwen,1,repair_assisted,ACL,5,5,1,3,0,1,1,0,4,3,1,,,0,1,3,0,0.6,0.8,0.75,
qwen,1,repair_assisted,MCL,5,5,0,4,0,1,1,0,4,4,0,,,0,0,4,0,0.8,0.8,1.0,
qwen,1,repair_assisted,Medial Meniscus,5,4,1,3,0,0,0,1,4,4,0,,,1,0,3,0,0.8,0.8,1.0,1
qwen,1,repair_assisted,Lateral Meniscus,5,5,3,1,0,1,1,0,4,2,2,,,1,2,1,0,0.4,0.8,0.5,
qwen,1,repair_assisted,Medial OA,5,4,1,0,0,3,3,1,1,1,0,,,1,0,0,0,0.2,0.2,1.0,1
qwen,1,repair_assisted,Lateral OA,5,5,1,1,0,3,3,0,2,1,1,,,0,1,1,0,0.2,0.4,0.5,
qwen,1,repair_assisted,PF OA,5,5,2,1,0,2,2,0,3,2,1,,,2,0,0,1,0.4,0.6,0.6666666666666666,
qwen,1,repair_assisted,Effusion,5,5,3,2,0,0,0,0,5,3,2,,,2,1,1,1,0.6,1.0,0.6,
qwen,1,repair_assisted,Synovitis,5,5,2,0,0,3,3,0,2,1,1,,,1,1,0,0,0.2,0.4,0.5,
qwen,1,repair_assisted,Baker's,5,5,0,2,1,2,3,0,2,2,0,,,0,0,2,0,0.4,0.4,1.0,
qwen,1,repair_assisted,Contusion,5,5,1,0,0,4,4,0,1,1,0,,,1,0,0,0,0.2,0.2,1.0,
qwen,1,repair_assisted,Fracture,5,5,1,2,0,2,2,0,3,2,1,,,0,1,2,0,0.4,0.6,0.6666666666666666,
qwen,2,first_pass,ACL,5,5,1,3,0,1,1,0,4,3,1,,,0,1,3,0,0.6,0.8,0.75,
qwen,2,first_pass,MCL,5,5,0,4,0,1,1,0,4,4,0,,,0,0,4,0,0.8,0.8,1.0,
qwen,2,first_pass,Medial Meniscus,5,4,1,3,0,0,0,1,4,4,0,,,1,0,3,0,0.8,0.8,1.0,1
qwen,2,first_pass,Lateral Meniscus,5,5,3,1,0,1,1,0,4,2,2,,,1,2,1,0,0.4,0.8,0.5,
qwen,2,first_pass,Medial OA,5,4,1,0,0,3,3,1,1,1,0,,,1,0,0,0,0.2,0.2,1.0,1
qwen,2,first_pass,Lateral OA,5,5,1,1,0,3,3,0,2,1,1,,,0,1,1,0,0.2,0.4,0.5,
qwen,2,first_pass,PF OA,5,5,2,1,0,2,2,0,3,2,1,,,2,0,0,1,0.4,0.6,0.6666666666666666,
qwen,2,first_pass,Effusion,5,5,3,2,0,0,0,0,5,3,2,,,2,1,1,1,0.6,1.0,0.6,
qwen,2,first_pass,Synovitis,5,5,2,0,0,3,3,0,2,1,1,,,1,1,0,0,0.2,0.4,0.5,
qwen,2,first_pass,Baker's,5,5,0,2,1,2,3,0,2,2,0,,,0,0,2,0,0.4,0.4,1.0,
qwen,2,first_pass,Contusion,5,5,1,0,0,4,4,0,1,1,0,,,1,0,0,0,0.2,0.2,1.0,
qwen,2,first_pass,Fracture,5,5,1,2,0,2,2,0,3,2,1,,,0,1,2,0,0.4,0.6,0.6666666666666666,
qwen,2,repair_assisted,ACL,5,5,1,3,0,1,1,0,4,3,1,,,0,1,3,0,0.6,0.8,0.75,
qwen,2,repair_assisted,MCL,5,5,0,4,0,1,1,0,4,4,0,,,0,0,4,0,0.8,0.8,1.0,
qwen,2,repair_assisted,Medial Meniscus,5,4,1,3,0,0,0,1,4,4,0,,,1,0,3,0,0.8,0.8,1.0,1
qwen,2,repair_assisted,Lateral Meniscus,5,5,3,1,0,1,1,0,4,2,2,,,1,2,1,0,0.4,0.8,0.5,
qwen,2,repair_assisted,Medial OA,5,4,1,0,0,3,3,1,1,1,0,,,1,0,0,0,0.2,0.2,1.0,1
qwen,2,repair_assisted,Lateral OA,5,5,1,1,0,3,3,0,2,1,1,,,0,1,1,0,0.2,0.4,0.5,
qwen,2,repair_assisted,PF OA,5,5,2,1,0,2,2,0,3,2,1,,,2,0,0,1,0.4,0.6,0.6666666666666666,
qwen,2,repair_assisted,Effusion,5,5,3,2,0,0,0,0,5,3,2,,,2,1,1,1,0.6,1.0,0.6,
qwen,2,repair_assisted,Synovitis,5,5,2,0,0,3,3,0,2,1,1,,,1,1,0,0,0.2,0.4,0.5,
qwen,2,repair_assisted,Baker's,5,5,0,2,1,2,3,0,2,2,0,,,0,0,2,0,0.4,0.4,1.0,
qwen,2,repair_assisted,Contusion,5,5,1,0,0,4,4,0,1,1,0,,,1,0,0,0,0.2,0.2,1.0,
qwen,2,repair_assisted,Fracture,5,5,1,2,0,2,2,0,3,2,1,,,0,1,2,0,0.4,0.6,0.6666666666666666,
rule_v1,0,first_pass,ACL,5,5,0,4,1,0,1,0,4,4,0,,,0,0,4,0,0.8,0.8,1.0,
rule_v1,0,first_pass,MCL,5,5,0,5,0,0,0,0,5,5,0,,,0,0,5,0,1.0,1.0,1.0,
rule_v1,0,first_pass,Medial Meniscus,5,5,1,3,0,1,1,0,4,4,0,,,1,0,3,0,0.8,0.8,1.0,
rule_v1,0,first_pass,Lateral Meniscus,5,5,3,1,0,1,1,0,4,2,2,,,1,2,1,0,0.4,0.8,0.5,
rule_v1,0,first_pass,Medial OA,5,5,0,2,1,2,3,0,2,2,0,,,0,0,2,0,0.4,0.4,1.0,
rule_v1,0,first_pass,Lateral OA,5,5,0,1,1,3,4,0,1,1,0,,,0,0,1,0,0.2,0.2,1.0,
rule_v1,0,first_pass,PF OA,5,5,1,1,2,1,3,0,2,2,0,,,1,0,1,0,0.4,0.4,1.0,
rule_v1,0,first_pass,Effusion,5,5,2,2,1,0,1,0,4,2,2,,,1,1,1,1,0.4,0.8,0.5,
rule_v1,0,first_pass,Synovitis,5,5,2,0,0,3,3,0,2,1,1,,,1,1,0,0,0.2,0.4,0.5,
rule_v1,0,first_pass,Baker's,5,5,0,2,0,3,3,0,2,2,0,,,0,0,2,0,0.4,0.4,1.0,
rule_v1,0,first_pass,Contusion,5,5,0,2,0,3,3,0,2,1,1,,,0,0,1,1,0.2,0.4,0.5,
rule_v1,0,first_pass,Fracture,5,5,0,2,1,2,3,0,2,2,0,,,0,0,2,0,0.4,0.4,1.0,
